county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,0,0,0,533640,948878,0003
,1,0,0,537291,954399,0003
,1,0,0,537292,952633,0335
,2,0,0,537297,950038,0024
,1,0,0,537300,956113,02-2
,2,0,0,537316,950363,0128
,1,0,0,537321,951507,0016
,1,0,0,537333,952444,0143
,1,0,0,537335,951245,0126
,0,0,0,537338,951205,0015
,1,0,0,537345,954963,0012
,1,0,0,537363,955051,0016
,1,0,0,537370,952846,0552
,1,0,0,537378,953917,0404
,0,0,0,537385,956795,0135
,1,0,0,537392,951341,0417
,1,0,0,537398,955563,1189
,1,0,0,537400,950075,0061
,1,0,0,537401,954200,0038
,1,0,0,537402,953323,0064
,3,0,0,537403,951301,0309
,1,0,0,537410,953303,0044
,1,0,0,537411,955249,0005
,0,0,0,537412,954201,0039
,1,0,0,537416,952334,0033
,2,0,0,539411,953193,0223
,1,0,0,539414,951370,0003
,1,0,0,539415,953866,0029
,2,0,0,539424,951296,0304
,1,0,0,541335,953416,0022
,2,0,0,541336,949018,0205
,1,0,0,541340,950270,0035
,5,0,0,541345,955245,0001
,1,0,0,541351,950072,0058
,1,0,0,541353,952112,0019
,1,0,0,541358,948974,3009
,1,0,0,541359,954076,0002
,1,0,0,541360,954528,0001
,1,0,0,541367,951160,4623
,1,0,0,541372,951508,0017
,1,0,0,541377,952611,0312
,2,0,0,541382,955247,0003
,1,0,0,541386,952614,0315
,1,0,0,541387,956137,0015
,2,0,0,541395,953888,09-1
,2,0,0,541396,948963,1014
,1,0,0,541398,953205,0331
,0,0,0,541401,952914,0620
,1,0,0,541406,949570,4093
,1,0,0,541414,951742,0010
,1,0,0,541415,952540,0240
,3,0,0,541416,955116,0332
,2,0,0,541425,951610,0119
,2,0,0,541426,953892,0002
,1,0,0,541431,955355,0202
,4,0,0,541438,951262,0204
,1,0,0,541450,955704,2280
,3,0,0,541452,952161,0014
,1,0,0,541457,953456,0005
,1,0,0,541466,951520,0029
,1,0,0,541468,955129,0002
,1,0,0,541471,956515,0042
,1,0,0,541476,955668,2112
,1,0,0,541481,950596,1206
,2,0,0,541500,952171,0001
,2,0,0,541502,952374,0073
,1,0,0,541504,954625,0077
,1,0,0,541506,952803,0508
,1,0,0,541509,950064,0050
,1,0,0,541513,,
,1,0,0,541516,951754,0201
,1,0,0,541517,951475,0129
,1,0,0,541518,952421,0120
,0,0,0,541536,955585,1277
,1,0,0,541541,953958,0001
,2,0,0,541551,955108,0230
,3,0,0,541562,953215,0443
,1,0,0,541570,955374,0016
,1,0,0,541576,953904,0107
,1,0,0,541587,956052,4497
,1,0,0,541588,954001,0003
,1,0,0,541592,950778,2226
,1,0,0,541598,953619,0002
,1,0,0,541599,956600,0310
,2,0,0,541607,951372,0005
,1,0,0,541616,954195,0031
,1,0,0,541620,949041,0401
,1,0,0,543342,954246,0122
,3,0,0,543349,949720,0008a
,1,0,0,543355,955075,0422
,1,0,0,543364,954122,0304
,1,0,0,543384,950323,0088
,2,0,0,543390,948973,3005
,1,0,0,543405,953681,0039
,11,0,0,543416,956951,03-3
,1,0,0,543417,949689,0012
,1,0,0,543429,948876,0001
,1,0,0,543445,950031,0017
,1,0,0,543446,949447,3143
,1,0,0,543450,950274,0039
,1,0,0,543451,952661,0363
,0,0,0,543462,951334,0410
,1,0,0,543465,955069,0323
,1,0,0,543469,951297,0305
,2,0,0,543477,952830,0536
,3,0,0,543478,950933,3346
,0,0,0,543483,951419,0204
,1,0,0,543497,951220,0101
,1,0,0,543501,953784,0010
,1,0,0,543509,952681,0383
,2,0,0,543510,953667,0025
,1,0,0,543514,955166,0012
,1,0,0,543516,952306,0005
,0,0,0,543521,952680,0382
,1,0,0,543524,955506,1024
,1,0,0,543534,955813,3177
,1,0,0,543538,951788,1120
,1,0,0,543541,956236,0152
,1,0,0,543542,955160,0005
,2,0,0,543551,951600,0109
,1,0,0,543564,950238,0003
,1,0,0,547128,952655,0357
,2,0,0,547130,956946,01-4
,1,0,0,547132,950623,1233
,2,0,0,547137,952927,0633
,3,0,0,547139,951707,0015
,1,0,0,547141,948946,0418
,2,0,0,547142,955892,3465
,1,0,0,547146,949161,1112
,1,0,0,547150,952740,0443
,0,0,0,547151,952805,0510
,1,0,0,547153,951902,0401
,1,0,0,547156,954564,0016
,0,0,0,547163,956451,0009
,1,0,0,547181,954462,0001
,2,0,0,547182,953206,0332
,3,0,0,547183,951164,4627
,1,0,0,547184,951051,4105
,0,0,0,547185,949029,0306
,1,0,0,547190,949438,3134
,1,0,0,547191,953529,0207
,1,0,0,547192,955212,004d
,1,0,0,547193,954714,0404
,1,0,0,547195,950275,0040
,1,0,0,547222,951458,0112
,1,0,0,547223,953891,0001
,1,0,0,547225,951058,4202
,1,0,0,547226,952814,0520
,2,0,0,547233,952857,0563
,1,0,0,547236,953305,0046
,1,0,0,547245,956932,0013
,1,0,0,549139,955579,1264
,1,0,0,549149,956528,0012
,4,0,0,549165,956777,0009
,1,0,0,549180,948976,3019
,2,0,0,549184,949409,3104
,1,0,0,549189,948968,2011
,1,0,0,549192,950536,0007
,1,0,0,549194,948948,0002
,1,0,0,549199,953155,0015
,1,0,0,549200,954707,0306
,2,0,0,549204,953190,0127
,1,0,0,549212,949848,005a
,1,0,0,549225,955037,0002
