county_name,reg_voters,white,latinx,aapi,black,native,missing,dnc_precinct_id,van_precinct_id,van_precinct_name
,2,0,0,0,0,0,2,537297,950038,0024
,1,0,0,0,0,0,1,537300,956113,02-2
,2,0,0,0,0,0,2,537316,950363,0128
,1,0,0,0,0,0,1,537321,951507,0016
,1,0,0,0,0,0,1,537333,952444,0143
,1,0,0,0,0,0,1,537335,951245,0126
,0,0,0,0,0,0,1,537338,951205,0015
,1,0,0,0,0,0,1,537345,954963,0012
,1,0,0,0,0,0,1,537363,955051,0016
,1,0,0,0,0,0,1,537370,952846,0552
,1,1,0,0,0,0,1,537378,953917,0404
,0,0,0,0,0,0,1,537385,956795,0135
,1,0,0,0,0,0,1,537392,951341,0417
,1,0,0,0,0,0,2,537398,955563,1189
,1,0,0,0,0,0,1,537400,950075,0061
,1,0,0,0,0,0,1,537401,954200,0038
,1,0,0,0,0,0,1,537402,953323,0064
,3,0,0,0,0,0,3,537403,951301,0309
,1,0,0,0,0,0,1,537410,953303,0044
,1,0,0,0,0,0,1,537411,955249,0005
,0,0,0,0,0,0,1,537412,954201,0039
,1,0,0,0,0,0,1,537416,952334,0033
,2,0,0,0,0,0,2,539411,953193,0223
,1,0,0,0,0,0,1,539414,951370,0003
,1,0,0,0,0,0,1,539415,953866,0029
,2,0,0,0,0,0,2,539424,951296,0304
,1,0,0,0,0,0,1,541335,953416,0022
,2,0,0,0,0,0,2,541336,949018,0205
,1,0,0,0,0,0,1,541340,950270,0035
,5,0,0,0,0,0,5,541345,955245,0001
,1,0,0,0,0,0,1,541351,950072,0058
,1,1,0,0,0,0,1,541353,952112,0019
,1,0,0,0,0,0,1,541358,948974,3009
,1,0,0,0,0,0,1,541359,954076,0002
,1,0,0,0,0,0,1,541360,954528,0001
,1,0,0,0,0,0,1,541367,951160,4623
,1,0,0,0,0,0,1,541372,951508,0017
,1,0,0,0,0,0,1,541377,952611,0312
,2,0,0,0,0,0,2,541382,955247,0003
,1,0,0,0,0,0,1,541386,952614,0315
,1,0,0,0,0,0,2,541387,956137,0015
,2,0,0,0,0,0,2,541395,953888,09-1
,2,1,0,0,0,0,3,541396,948963,1014
,1,0,0,0,0,0,1,541398,953205,0331
,0,0,0,0,1,0,0,541401,952914,0620
,1,0,0,0,0,0,1,541406,949570,4093
,1,0,0,0,0,0,1,541414,951742,0010
,1,0,0,0,0,0,1,541415,952540,0240
,3,0,0,0,0,0,3,541416,955116,0332
,2,0,0,0,0,0,2,541425,951610,0119
,2,0,0,0,0,0,2,541426,953892,0002
,1,0,0,0,0,0,1,541431,955355,0202
,4,0,0,0,0,0,4,541438,951262,0204
,1,0,0,0,0,0,1,541450,955704,2280
,3,1,0,0,0,0,3,541452,952161,0014
,1,0,0,0,0,0,1,541457,953456,0005
,1,0,0,0,0,0,1,541466,951520,0029
,1,0,0,0,0,0,1,541468,955129,0002
,1,0,0,0,0,0,1,541471,956515,0042
,1,0,0,0,0,0,1,541476,955668,2112
,1,0,0,0,0,0,1,541481,950596,1206
,2,0,0,0,0,0,2,541500,952171,0001
,2,0,0,0,0,0,2,541502,952374,0073
,1,0,0,0,0,0,1,541504,954625,0077
,1,0,0,0,0,0,1,541506,952803,0508
,1,0,0,0,0,0,1,541509,950064,0050
,1,0,0,0,0,0,2,541513,,
,1,0,0,0,0,0,1,541516,951754,0201
,1,0,0,0,0,0,1,541517,951475,0129
,1,0,0,0,0,0,1,541518,952421,0120
,0,0,0,0,0,0,1,541536,955585,1277
,1,0,0,0,0,0,1,541541,953958,0001
,2,0,0,0,0,0,2,541551,955108,0230
,3,0,0,0,0,0,3,541562,953215,0443
,1,0,0,0,0,0,1,541570,955374,0016
,1,0,0,0,0,0,1,541576,953904,0107
,1,0,0,0,0,0,1,541587,956052,4497
,1,0,0,0,0,0,1,541588,954001,0003
,1,0,0,0,0,0,1,541592,950778,2226
,1,1,0,0,0,0,0,541598,953619,0002
,1,0,0,0,0,0,1,541599,956600,0310
,2,0,0,0,0,0,2,541607,951372,0005
,1,0,0,0,0,0,3,541616,954195,0031
,1,0,0,0,0,0,1,541620,949041,0401
,1,0,0,0,0,0,1,543342,954246,0122
,3,0,0,0,0,0,3,543349,949720,0008a
,1,0,0,0,0,0,1,543355,955075,0422
,1,0,0,0,0,0,1,543364,954122,0304
,1,0,0,0,0,0,1,543384,950323,0088
,2,0,0,0,0,0,2,543390,948973,3005
,1,0,0,0,0,0,1,543405,953681,0039
,11,0,0,0,0,0,11,543416,956951,03-3
,1,0,0,0,0,0,1,543417,949689,0012
,1,0,0,0,0,0,1,543429,948876,0001
,1,0,0,0,0,0,1,543445,950031,0017
,1,0,0,0,0,0,1,543446,949447,3143
,1,0,0,0,0,0,1,543450,950274,0039
,1,0,0,0,0,0,1,543451,952661,0363
,0,1,0,0,0,0,0,543462,951334,0410
,1,0,0,0,0,0,1,543465,955069,0323
,1,0,0,0,0,0,1,543469,951297,0305
,2,0,0,0,0,0,2,543477,952830,0536
,3,0,0,0,0,0,3,543478,950933,3346
,0,0,0,0,0,0,1,543483,951419,0204
,1,0,0,0,0,0,1,543497,951220,0101
,1,0,0,0,0,0,1,543501,953784,0010
,1,0,0,0,0,0,2,543509,952681,0383
,2,0,0,0,0,0,2,543510,953667,0025
,1,0,0,0,0,0,1,543514,955166,0012
,1,0,0,0,0,0,1,543516,952306,0005
,0,1,0,0,0,0,0,543521,952680,0382
,1,0,0,0,0,0,1,543524,955506,1024
,1,0,0,0,0,0,1,543534,955813,3177
,1,0,0,0,0,0,1,543538,951788,1120
,1,0,0,0,0,0,1,543541,956236,0152
,1,0,0,0,0,0,1,543542,955160,0005
,2,0,0,0,0,0,2,543551,951600,0109
,1,0,0,0,0,0,1,543564,950238,0003
,1,0,0,0,0,0,1,547128,952655,0357
,2,0,0,0,0,0,2,547130,956946,01-4
,1,0,0,0,0,0,1,547132,950623,1233
,2,0,0,0,0,0,2,547137,952927,0633
,3,0,0,0,0,0,3,547139,951707,0015
,1,0,0,0,0,0,1,547141,948946,0418
,2,1,0,0,0,0,2,547142,955892,3465
,1,0,0,0,0,0,1,547146,949161,1112
,1,0,0,0,0,0,1,547150,952740,0443
,0,1,0,0,0,0,0,547151,952805,0510
,1,0,0,0,0,0,1,547153,951902,0401
,1,0,0,0,0,0,1,547156,954564,0016
,0,0,0,0,0,0,1,547163,956451,0009
,1,0,0,0,0,0,1,547181,954462,0001
,2,0,0,0,0,0,2,547182,953206,0332
,3,0,0,0,0,0,3,547183,951164,4627
,1,0,0,0,0,0,1,547184,951051,4105
,0,0,0,0,0,0,1,547185,949029,0306
,1,0,0,0,0,0,1,547190,949438,3134
,1,0,0,0,0,0,1,547191,953529,0207
,1,0,0,0,0,0,1,547192,955212,004d
,1,0,0,0,0,0,1,547193,954714,0404
,1,0,0,0,0,0,1,547195,950275,0040
,1,0,0,0,0,0,1,547222,951458,0112
,1,0,0,0,0,0,1,547223,953891,0001
,1,0,0,0,0,0,1,547225,951058,4202
