id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
809,,LUBBOCK,303,IDALOU COMMUNITY CENTER,202 W 7TH STREET,,IDALOU,TX,48,79329,,33.660095,-101.678531,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
810,,LUBBOCK,303,LUBBOCK ISD ADMINISTRATION OFFICE,1628 19TH ST,,LUBBOCK,TX,48,79401,,33.578095,-101.854083,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
811,,LUBBOCK,303,MARKET STREET #502,3405 50TH STREET,,LUBBOCK,TX,48,79413,,33.547756,-101.888808,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
812,,LUBBOCK,303,MARKET STREET #543,4205 98TH STREET,,LUBBOCK,TX,48,79423,,33.503414,-101.902428,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
813,,LUBBOCK,303,MARKET STREET #553,4425 19TH STREET,,LUBBOCK,TX,48,79407,,33.575722,-101.906389,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
814,,LUBBOCK,303,NEW DEAL COMMUNITY CLUBHOUSE,309 S MONROE AVE,,NEW DEAL,TX,48,79350,,33.728873,-101.839082,10/18 10 AM-5 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
815,,LUBBOCK,303,RANSOM CANYON CITY HALL,24 LEE KITCHENS DR RANSOM,,CANYON,TX,48,79366,,33.53611,-101.677772,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
816,,LUBBOCK,303,ROOSEVELT COMMUNITY CENTER,1408 CR 3300,,LUBBOCK,TX,48,79403,,33.581032,-101.674891,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
817,,LUBBOCK,303,SHALLOWATER COMMUNITY CENTER,902 AVENUE H,,SHALLOWATER,TX,48,79363,,33.692714,-101.996792,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
818,,LUBBOCK,303,SLATON ISD ADMINISTRATION BUILDING,140 E PANHANDLE,,SLATON,TX,48,79364,,33.436575,-101.64148,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
819,,LUBBOCK,303,TERRA VISTA MIDDLE SCHOOL,1111 UPLAND AVE,,LUBBOCK,TX,48,79416,,33.585866,-101.973497,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
820,,LUBBOCK,303,TEXAS TECH RECREATIONAL CENTER,3219 MAIN STREET,,LUBBOCK,TX,48,79409,,33.583854,-101.884629,10/18 1 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 1 PM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
821,,LUBBOCK,303,UNITED SUPERMARKET #501,2630 PARKWAY DRIVE,,LUBBOCK,TX,48,79403,,33.597311,-101.808539,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
822,,LUBBOCK,303,UNITED SUPERMARKET #506,1701 50TH STREET,,LUBBOCK,TX,48,79412,,33.547366,-101.856735,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
823,,LUBBOCK,303,UNITED SUPERMARKET #537,2703 82ND STREET,,LUBBOCK,TX,48,79423,,33.519551,-101.87563,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
824,,LUBBOCK,303,UNITED SUPERMARKET #551,8010 FRANKFORD AVE,,LUBBOCK,TX,48,79424,,33.520507,-101.941596,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
825,,LUBBOCK,303,UNITED SUPERMARKET #552,6313 4TH STREET,,LUBBOCK,TX,48,79416,,33.59075,-101.955508,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
826,,LUBBOCK,303,UNITED SUPERMARKET #555,12815 INDIANA AVENUE,,LUBBOCK,TX,48,79423,,33.477399,-101.886629,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
827,,LUBBOCK,303,UNITED SUPERMARKET#505,401 SLIDE RD,,LUBBOCK,TX,48,79416,,33.591721,-101.921264,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
828,,LYNN,305,LYNN COUNTY COURT HOUSE,1501 S 1ST STREET,,TAHOKA,TX,48,79373,,33.165102,-101.79569,10/30 09:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
829,,MADISON,313,EV-1 KIMBRO CENTER,111 W TRINITY ST,,MADISONVILLE,TX,48,77864,,30.948201,-95.913953,10/19-10/23 08:00 AM-05:00 PM; 10/24 10:00 AM-02:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
