county_name,reg_voters,likely_dems,likely_repubs,census_block_group_2010
,1,0,0,482030204013
,2,0,0,482030205023
,0,0,0,482030206041
,1,0,0,482030206052
,1,0,0,482030206053
,2,0,0,482090107011
,1,0,0,482090107014
,6,0,0,482090108071
,2,0,0,482139509021
,0,0,0,482139511003
,3,0,0,482150204042
,1,0,0,482150214043
,1,0,0,482150219031
,2,0,0,482150219033
,1,0,0,482150222011
,1,0,0,482150222013
,0,0,0,482150231041
,2,0,0,482150231042
,1,0,0,482150231043
,1,0,0,482150236005
,2,0,0,482150238011
,1,0,0,482150239021
,1,0,0,482150239023
,1,0,0,482150241053
,2,0,0,482150241063
,2,0,0,482150241101
,1,0,0,482179601002
,0,0,0,482199501001
,1,0,0,482319602002
,1,0,0,482319606003
,0,0,0,482419501003
,1,0,0,482499501002
,0,0,0,482511302073
,1,0,0,482511309002
,0,0,0,482599704011
,2,0,0,482659603011
,0,0,0,482659603022
,1,0,0,482659603024
,0,0,0,482679501001
,1,0,0,482770003002
,1,0,0,482819501001
,0,0,0,482819503023
,2,0,0,482899501002
,0,0,0,482899501003
,0,0,0,482899502005
,3,0,0,482899503003
,1,0,0,482899503004
,0,0,0,482917001003
,1,0,0,482917003002
,0,0,0,482917004001
,1,0,0,482917004002
,0,0,0,482917006002
,1,0,0,482917010003
,1,0,0,482939701001
,1,0,0,482939703002
,1,0,0,482999701001
,1,0,0,482999702002
,1,0,0,482999704003
,1,0,0,482999706001
,1,0,0,483030002012
,2,0,0,483030005003
,0,0,0,483030102003
,1,0,0,483030103022
,0,0,0,483030104021
,1,0,0,483030104082
,0,0,0,483030107001
,1,0,0,483030107002
,0,0,0,483059504001
,0,0,0,483090003001
,1,0,0,483090040001
,0,0,0,483090043004
,0,0,0,483130002002
,0,0,0,483130003001
,0,0,0,483159504002
,1,0,0,483179501001
,0,0,0,483217302011
,0,0,0,483217302017
,0,0,0,483217303021
,0,0,0,483217304001
,0,0,0,483217306004
,0,0,0,483290101135
,0,0,0,483359502005
,2,0,0,483379503001
,2,0,0,483396916012
,7,0,0,483396918005
,4,0,0,483396926022
,1,0,0,483396933001
,2,0,0,483396941012
,1,0,0,483396942021
,1,0,0,483396942024
,1,0,0,483396943012
,3,0,0,483396944003
,1,0,0,483439501003
,1,0,0,483439502003
,1,0,0,483439502004
,1,0,0,483439502005
,1,0,0,483439503003
,0,0,0,483479501002
,2,0,0,483479503012
,1,0,0,483479504003
,2,0,0,483499710001
,1,0,0,483539505004
,1,0,0,483550029001
,2,0,0,483550054132
,1,0,0,483550056024
,0,0,0,483599501002
,2,0,0,483610220002
,7,0,0,483732101013
,2,0,0,483732102043
,1,0,0,483732103011
,1,0,0,483732105002
,0,0,0,483750141001
,1,0,0,483810206003
,1,0,0,483810217021
,0,0,0,483970403025
,1,0,0,483970404012
,1,0,0,483970405062
,0,0,0,484019501001
,0,0,0,484019504003
,0,0,0,484019505021
,1,0,0,484019506001
,1,0,0,484019509004
,1,0,0,484039501001
,1,0,0,484039503004
,5,0,0,484090103013
,1,0,0,484090106031
,1,0,0,484199501001
,1,0,0,484199504005
,1,0,0,484230001001
,2,0,0,484230011021
,1,0,0,484230016041
,1,0,0,484230018013
,1,0,0,484230018015
,1,0,0,484230018023
,1,0,0,484230018033
,1,0,0,484230019061
,0,0,0,484391003001
,0,0,0,484391009001
,1,0,0,484391052053
,1,0,0,484391135132
,1,0,0,484391135201
,2,0,0,484391138131
,1,0,0,484391139216
,1,0,0,484391139221
,1,0,0,484391141021
,1,0,0,484410101001
,1,0,0,484410109002
,0,0,0,484499503003
,2,0,0,484510016003
,2,0,0,484530004011
,0,0,0,484530017503
,2,0,0,484530018131
,2,0,0,484530018321
,2,0,0,484530019193
,1,0,0,484530022091
,0,0,0,484530023082
,1,0,0,484559502002
,1,0,0,484559504002
,2,0,0,484579503002
,2,0,0,484599501003
,0,0,0,484599505003
,0,0,0,484639502002
,1,0,0,484639502003
,1,0,0,484639503004
,1,0,0,484679505002
,1,0,0,484690015011
,0,0,0,484717907003
,1,0,0,484736805004
,0,0,0,484817406002
,5,0,0,484850120003
,2,0,0,484850134013
,0,0,0,484899507001
,1,0,0,484910203013
,1,0,0,484971506011
,0,0,0,484999504001
,1,0,0,484999506011
,0,0,0,485019501001
Anderson,832,0,0,
Anderson,1224,101,628,480019501001
Anderson,1597,111,1043,480019501002
Anderson,1215,81,811,480019501003
Anderson,130,10,73,480019504011
Anderson,326,40,187,480019504021
Anderson,581,67,263,480019505001
Anderson,401,147,40,480019505002
Anderson,1363,264,490,480019505003
Anderson,886,135,374,480019505004
Anderson,1256,360,310,480019506001
Anderson,1358,134,676,480019506002
Anderson,1520,411,414,480019506003
Anderson,1144,96,571,480019506004
Anderson,756,209,144,480019507001
Anderson,600,217,69,480019507002
Anderson,740,218,141,480019507003
Anderson,1175,150,477,480019508001
Anderson,1133,122,533,480019508002
Anderson,947,93,418,480019508003
Anderson,771,97,375,480019508004
Anderson,838,71,365,480019508005
Anderson,846,70,484,480019509011
Anderson,505,38,300,480019509012
Anderson,347,32,206,480019509013
Anderson,1490,87,879,480019509014
Anderson,786,49,495,480019509021
Anderson,1093,87,643,480019509022
Anderson,1007,92,517,480019509023
Anderson,4375,428,2690,480019509024
Anderson,1259,57,877,480019510001
Anderson,1817,80,1254,480019510002
Anderson,609,34,392,480019510003
Anderson,1138,57,798,480019510004
Anderson,573,59,312,480019510005
Anderson,750,56,396,480019510006
Anderson,1540,83,1058,480019511001
Anderson,684,60,400,480019511002
Anderson,818,84,498,480019511003
Anderson,627,77,338,480019511004
Anderson,1,0,0,480739504002
Anderson,2,0,0,482139503001
Anderson,13,0,7,482139503003
Anderson,2,0,2,482139504001
Anderson,2,0,0,482139510001
Anderson,1,0,0,482139511001
Anderson,5,0,0,482139512005
Anderson,17,0,14,482139513002
Anderson,2,0,0,482139514002
Anderson,171,10,98,482139514003
Anderson,28,0,19,482139514004
Anderson,42,0,28,482259501001
Anderson,3,0,2,482259501002
Anderson,1,0,0,482259501003
Anderson,1,0,0,482259501004
Anderson,1,0,0,484999506011
Andrews,32,0,7,
Andrews,1829,83,1265,480039501001
Andrews,1316,109,652,480039502001
Andrews,767,68,351,480039502002
Andrews,1289,88,719,480039502003
Andrews,760,46,420,480039502004
Andrews,1014,53,648,480039502005
Andrews,694,58,351,480039502006
Andrews,1399,161,607,480039503001
Andrews,1218,108,550,480039503002
Andrews,629,47,293,480039503003
Andrews,2401,168,1484,480039504001
Angelina,421,3,2,
Angelina,2739,180,1730,480050001011
Angelina,1195,89,783,480050001012
Angelina,1193,133,677,480050001013
Angelina,2993,227,2006,480050001021
Angelina,948,63,663,480050001022
Angelina,1499,265,663,480050002001
Angelina,1867,133,1087,480050002002
Angelina,1776,179,985,480050002003
Angelina,1708,317,777,480050003011
Angelina,1180,97,672,480050003012
Angelina,1802,158,1043,480050003013
Angelina,1909,264,933,480050003021
Angelina,2369,190,1547,480050003022
Angelina,559,242,95,480050004001
Angelina,1895,446,621,480050004002
Angelina,1237,283,345,480050004003
Angelina,865,317,177,480050004004
Angelina,826,465,16,480050005001
Angelina,1311,557,176,480050005002
Angelina,913,486,26,480050005003
Angelina,515,252,24,480050005004
Angelina,1089,444,200,480050006001
Angelina,875,481,80,480050006002
Angelina,905,325,187,480050006003
Angelina,1052,444,143,480050006004
Angelina,756,224,192,480050007001
Angelina,577,207,66,480050007002
Angelina,674,354,40,480050007003
Angelina,2434,285,1304,480050008001
Angelina,1334,219,560,480050008002
Angelina,1058,231,366,480050008003
Angelina,655,237,141,480050008004
Angelina,2046,325,998,480050009011
Angelina,1501,238,656,480050009012
Angelina,1599,303,525,480050009013
Angelina,1099,163,515,480050009014
Angelina,2737,364,1347,480050009021
Angelina,685,102,241,480050009022
Angelina,1271,137,700,480050010011
Angelina,1198,323,322,480050010012
Angelina,706,346,46,480050010013
Angelina,2385,184,1527,480050010021
Angelina,1085,257,362,480050010022
Angelina,2207,118,1491,480050011001
Angelina,2729,188,1815,480050011002
Angelina,706,58,411,480050011003
Angelina,1450,127,833,480050012001
Angelina,747,53,442,480050012002
Angelina,712,61,379,480050012003
Angelina,1622,115,933,480050013001
Angelina,2097,107,1435,480050013002
Angelina,1194,61,805,480050013003
Angelina,0,0,0,480739509001
Angelina,1,0,0,482959502001
Angelina,1,0,1,484410135003
Aransas,187,1,3,
Aransas,1629,153,914,480079501001
Aransas,1610,151,864,480079501002
Aransas,2036,208,1208,480079501003
Aransas,445,42,248,480079501004
Aransas,1514,171,743,480079501005
Aransas,442,18,231,480079502001
Aransas,1048,71,530,480079502002
Aransas,3171,305,1781,480079503001
Aransas,1376,125,625,480079503002
Aransas,1738,206,809,480079503003
Aransas,911,132,343,480079503004
Aransas,1391,190,497,480079504001
Aransas,933,114,352,480079504002
Aransas,1297,139,617,480079504003
Aransas,2543,231,1309,480079505001
Aransas,1002,70,525,480079505002
Aransas,736,83,278,480079505003
Aransas,2323,225,1281,480079505004
Aransas,0,0,0,483919504001
Aransas,13,2,2,483919504002
Aransas,4,0,3,484090102012
Aransas,29,0,7,484090102021
Aransas,64,12,23,484090102022
Aransas,3,0,1,484090103013
Aransas,17,3,7,484090107001
Aransas,1,0,0,484090108002
Archer,90,0,0,
Archer,1529,86,998,480090201001
Archer,1282,68,908,480090201002
Archer,934,43,558,480090202001
Archer,821,34,483,480090202002
Archer,796,30,497,480090202003
Archer,1008,38,720,480090203001
Archer,612,20,365,480090203002
Archer,659,19,394,480090203003
Archer,909,42,564,480090203004
Archer,134,1,91,480770303022
Archer,1,0,0,480770303023
Archer,9,1,6,482379501001
Archer,1,0,0,484850115003
Archer,5,0,2,484850116002
Archer,1,0,1,484850120003
Archer,14,1,11,484850123003
Archer,9,0,8,484850124002
Archer,18,0,13,484850124004
Archer,33,0,31,484850126003
Archer,24,1,20,484850128004
Archer,1,0,0,484850134011
Archer,3,0,1,484850137002
Archer,7,0,4,484850138002
Archer,20,1,14,485039502001
Archer,7,0,0,485039502002
Archer,3,0,2,485039502003
Archer,9,1,3,485039502004
Armstrong,15,0,0,
Armstrong,647,9,449,480119501001
Armstrong,718,12,479,480119501002
Armstrong,681,15,412,480119501003
Armstrong,2,0,2,481299502002
Armstrong,15,0,4,481299503001
Armstrong,6,0,3,483750154001
Armstrong,3,1,1,483810211013
Armstrong,44,0,26,483810219003
Atascosa,496,0,0,
Atascosa,1936,547,680,480139601001
Atascosa,2566,444,1116,480139601002
Atascosa,1464,520,230,480139601003
Atascosa,788,124,416,480139601004
Atascosa,849,216,287,480139602011
Atascosa,1245,334,323,480139602012
Atascosa,2827,687,1039,480139602013
Atascosa,2323,737,502,480139602021
Atascosa,2218,670,675,480139602022
Atascosa,1068,290,366,480139602023
Atascosa,1643,548,394,480139602024
Atascosa,1336,638,194,480139603001
Atascosa,1298,675,144,480139603002
Atascosa,1088,349,275,480139604011
Atascosa,528,133,99,480139604021
Atascosa,2836,320,1614,480139604022
Atascosa,707,128,271,480139604023
Atascosa,978,275,186,480139604024
Atascosa,2341,335,1047,480139604025
Atascosa,1451,576,374,480139605001
Atascosa,682,240,171,480139605002
Atascosa,2064,455,694,480139606001
Atascosa,1273,198,575,480139606002
Atascosa,1293,226,530,480139606003
Atascosa,770,188,351,480139606004
Atascosa,1,0,0,480291219072
Atascosa,2,0,2,480291219082
Atascosa,4,1,0,480291521003
Atascosa,5,2,0,480291521004
Atascosa,6,0,4,480291522011
Atascosa,5,0,0,480291522012
Atascosa,153,52,34,480291619022
Atascosa,19,4,3,480291620011
Atascosa,19,8,7,480291620031
Atascosa,19,7,3,480291620033
Atascosa,13,5,2,480291620041
Atascosa,3,2,0,480291620042
Atascosa,3,0,2,480291918041
Atascosa,3,1,2,480291918141
Atascosa,4,0,0,481410013025
Atascosa,0,0,0,481410102181
Atascosa,17,4,9,481639501001
Atascosa,0,0,0,482559701002
Atascosa,1,0,0,482559702001
Atascosa,2,0,0,482559702004
Atascosa,1,0,1,482839503003
Atascosa,1,0,0,482979501001
Atascosa,7,1,2,482979501002
Atascosa,0,0,0,483250001012
Atascosa,15,3,2,483250004012
Atascosa,0,0,0,483250004021
Atascosa,58,15,16,483250004022
Atascosa,2,0,1,484930002011
Atascosa,13,2,8,484930002022
Atascosa,6,0,4,484930003001
Atascosa,7,0,3,484930006001
Austin,91,0,0,
Austin,1103,149,549,480157601001
Austin,1071,148,517,480157601002
Austin,1100,268,421,480157602001
Austin,2010,160,1244,480157602002
Austin,936,186,436,480157602003
Austin,1173,261,379,480157602004
Austin,1440,130,850,480157603001
Austin,1280,176,588,480157603002
Austin,2561,233,1516,480157603003
Austin,1151,119,615,480157603004
Austin,1437,99,938,480157604001
Austin,1003,64,672,480157604002
Austin,1051,109,672,480157604003
Austin,1175,103,712,480157605011
Austin,2545,148,1750,480157605012
Austin,733,57,396,480157605013
Austin,1541,111,931,480157605021
Austin,748,115,370,480157605022
Austin,1122,118,557,480157605023
Austin,1261,161,613,480157605024
Austin,14,0,12,480897504002
Austin,10,1,6,480897504003
Austin,1,1,0,481499701001
Austin,2,0,1,481499707002
Austin,1,0,1,481576733001
Austin,29,1,12,481576758001
Austin,5,0,2,481576758002
Austin,2,0,0,484771702004
Austin,3,0,3,484771704001
Austin,8,0,4,484771704004
Austin,8,0,8,484771705004
Austin,1,0,1,484771705006
Austin,3,0,0,484771706003
Austin,5,1,3,484771706004
Bailey,25,4,1,
Bailey,1015,122,384,480179501001
Bailey,1831,182,851,480179501002
Bailey,603,116,161,480179501003
Bailey,505,142,45,480179501004
Bailey,499,33,274,480179501005
Bailey,570,52,308,480179501006
Bailey,2,0,2,480799501001
Bailey,3,0,0,480799501003
Bailey,1,0,0,481179505003
Bailey,6,0,2,482799502001
Bailey,4,0,2,482799503001
Bailey,16,0,7,482799503002
Bailey,1,0,0,483699502003
Bailey,22,1,12,483699503001
Bailey,4,0,1,483699503005
Bailey,0,0,0,484530017641
Bandera,176,0,0,
Bandera,3797,365,2394,480190001011
Bandera,1461,135,723,480190001012
Bandera,1908,169,1112,480190001021
Bandera,2397,165,1421,480190001022
Bandera,1423,141,926,480190001023
Bandera,2065,126,1284,480190002001
Bandera,986,122,591,480190002002
Bandera,2167,238,1246,480190003001
Bandera,3061,323,1885,480190003002
Bandera,1286,124,689,480190003003
Bandera,1290,193,656,480190004001
Bandera,909,90,469,480190004002
Bandera,7,1,4,480291821061
Bandera,2,0,2,482659601002
Bandera,2,0,2,482659603011
Bandera,8,4,1,482659603012
Bandera,10,1,6,482659608002
Bandera,1,1,0,482659608003
Bandera,6,0,4,483250001023
Bandera,2,0,1,483250003001
Bandera,8,1,5,483250003003
Bandera,6,0,0,484639501001
Bastrop,148,0,0,
Bastrop,1520,386,624,480219501001
Bastrop,1684,363,787,480219501002
Bastrop,1403,439,491,480219501003
Bastrop,1815,412,791,480219501004
Bastrop,936,209,398,480219501005
Bastrop,1428,430,403,480219502001
Bastrop,2094,763,540,480219502002
Bastrop,1248,569,183,480219502003
Bastrop,887,431,94,480219502004
Bastrop,940,408,156,480219502005
Bastrop,1541,436,605,480219503001
Bastrop,4572,1111,2002,480219503002
Bastrop,2230,626,833,480219503003
Bastrop,1435,384,588,480219503004
Bastrop,3423,735,1649,480219503005
Bastrop,1750,592,457,480219504001
Bastrop,2226,573,798,480219504002
Bastrop,1212,337,404,480219504003
Bastrop,1719,396,691,480219504004
Bastrop,2770,601,1302,480219504005
Bastrop,2752,767,964,480219505011
Bastrop,1333,368,510,480219505012
Bastrop,1043,368,346,480219505013
Bastrop,3686,635,1788,480219505021
Bastrop,1929,380,942,480219505022
Bastrop,1300,252,592,480219505023
Bastrop,2042,412,975,480219506001
Bastrop,1115,177,603,480219506002
Bastrop,2249,383,1228,480219506003
Bastrop,966,182,378,480219507001
Bastrop,982,215,428,480219507002
Bastrop,875,176,322,480219507003
Bastrop,1529,461,357,480219507004
Bastrop,1419,578,332,480219508011
Bastrop,1484,398,561,480219508012
Bastrop,1151,642,149,480219508013
Bastrop,2136,914,512,480219508021
Bastrop,916,338,271,480219508022
Bastrop,1234,219,631,480219508023
Bastrop,10,7,1,480559601012
Bastrop,11,7,1,480559601013
Bastrop,4,1,1,480559601021
Bastrop,3,0,2,480559606002
Bastrop,18,5,5,481499702003
Bastrop,7,0,4,481499703001
Bastrop,2,0,1,481499704002
Bastrop,3,0,2,481499705001
Bastrop,6,1,1,481499705002
Bastrop,1,0,0,481770001002
Bastrop,6,0,4,482870003002
Bastrop,205,85,25,484530018541
Bastrop,2,2,0,484530022071
Bastrop,14,7,3,484530022092
Bastrop,1,0,0,484530022093
Bastrop,42,22,7,484530022101
Bastrop,5,2,2,484530022102
Bastrop,4,4,0,484530023101
Bastrop,12,3,4,484530024331
Bastrop,6,0,0,484530024332
Bastrop,7,4,3,484530024351
Bastrop,5,3,0,484530024361
Bastrop,14,1,10,484910209004
Baylor,11,0,1,
Baylor,3,0,2,480090202001
Baylor,565,30,320,480239503001
Baylor,576,42,275,480239503002
Baylor,1089,47,542,480239503003
Baylor,817,41,417,480239503004
Baylor,670,41,343,480239503005
Baylor,0,0,0,481210217352
Baylor,8,0,1,482759501002
Baylor,1,0,0,484850137002
Baylor,1,0,1,485039502001
Bee,158,0,0,
Bee,43,11,15,480259501001
Bee,1965,480,725,480259501002
Bee,56,12,12,480259502011
Bee,741,190,273,480259502013
Bee,625,145,202,480259502021
Bee,1159,255,419,480259502022
Bee,1553,262,755,480259502023
Bee,1342,381,332,480259502024
Bee,839,249,223,480259503001
Bee,962,197,321,480259503002
Bee,1094,261,294,480259503003
Bee,664,158,171,480259503004
Bee,1003,364,165,480259503005
Bee,1202,452,203,480259504001
Bee,957,271,200,480259504002
Bee,837,158,161,480259505001
Bee,812,389,72,480259505002
Bee,883,345,87,480259505003
Bee,611,303,29,480259505004
Bee,688,344,47,480259505005
Bee,1394,348,327,480259505006
Bee,582,170,81,480259505007
Bee,2243,575,778,480259506001
Bee,1,0,0,481759602002
Bee,1,0,0,482559703001
Bee,1,0,0,482559703002
Bee,9,0,0,482559703003
Bee,3,0,0,482559703004
Bee,1,0,0,482559703005
Bee,3,1,1,482979503002
Bee,2,0,0,482979504001
Bee,14,5,6,484090107002
Bee,27,5,13,484090109001
Bee,2,0,2,484090109002
Bee,4,1,1,484090110002
Bee,7,0,0,484090110003
Bee,1,0,0,484090112001
Bell,870,0,0,
Bell,2345,164,1586,480270201001
Bell,2203,171,1416,480270201002
Bell,1187,70,844,480270201003
Bell,2525,232,1605,480270202011
Bell,5120,700,3042,480270202012
Bell,2714,232,1786,480270202021
Bell,2443,246,1472,480270202022
Bell,1151,82,742,480270202023
Bell,2935,488,1595,480270203001
Bell,6910,1130,3738,480270203002
Bell,738,88,325,480270204011
Bell,1838,586,434,480270204012
Bell,2220,598,771,480270204021
Bell,939,198,379,480270205001
Bell,1159,311,370,480270205002
Bell,1096,333,240,480270205003
Bell,697,147,236,480270206001
Bell,1082,200,399,480270206002
Bell,693,137,239,480270206003
Bell,570,201,57,480270207011
Bell,673,230,112,480270207012
Bell,681,195,112,480270207021
Bell,735,290,51,480270207022
Bell,934,369,194,480270208001
Bell,619,323,25,480270208002
Bell,1085,523,50,480270208003
Bell,1539,415,367,480270209001
Bell,805,326,70,480270209002
Bell,222,56,19,480270210001
Bell,664,222,112,480270210002
Bell,696,231,113,480270210003
Bell,833,180,163,480270210004
Bell,647,152,127,480270210005
Bell,438,109,80,480270210006
Bell,818,213,193,480270211001
Bell,826,143,307,480270211002
Bell,887,189,259,480270211003
Bell,921,151,297,480270211004
Bell,1253,255,419,480270211005
Bell,1022,180,417,480270212011
Bell,874,196,241,480270212012
Bell,1210,226,402,480270212013
Bell,677,200,162,480270212021
Bell,1540,273,563,480270212022
Bell,1340,217,641,480270212023
Bell,2897,445,1437,480270212031
Bell,2096,333,843,480270212032
Bell,785,127,309,480270213011
Bell,2037,338,905,480270213012
Bell,2473,369,862,480270213013
Bell,2372,296,1152,480270213021
Bell,905,139,487,480270213022
Bell,5192,991,2748,480270213031
Bell,2474,790,644,480270213032
Bell,862,166,250,480270213033
Bell,1697,185,1114,480270214001
Bell,1097,69,758,480270214002
Bell,865,60,495,480270214003
Bell,1312,244,465,480270215001
Bell,1163,219,434,480270215002
Bell,2897,374,1733,480270215003
Bell,1057,148,408,480270216011
Bell,551,98,196,480270216012
Bell,560,121,140,480270216013
Bell,838,185,195,480270216014
Bell,912,128,453,480270216015
Bell,1470,200,587,480270216021
Bell,4747,633,2454,480270217001
Bell,2163,252,1212,480270217002
Bell,888,109,382,480270217003
Bell,1294,150,735,480270217004
Bell,4096,847,1895,480270218001
Bell,3439,658,1336,480270218002
Bell,987,165,441,480270218003
Bell,704,137,267,480270219011
Bell,736,105,323,480270219012
Bell,812,229,128,480270219013
Bell,1076,253,278,480270219014
Bell,2599,688,615,480270219031
Bell,2363,486,895,480270219032
Bell,4684,1628,1197,480270219033
Bell,3359,821,1091,480270219041
Bell,2073,407,728,480270219042
Bell,3067,640,1310,480270219043
Bell,2325,352,941,480270219044
Bell,3947,898,1669,480270220001
Bell,1486,429,227,480270220002
Bell,764,134,163,480270220003
Bell,704,188,146,480270220004
Bell,1711,579,262,480270221011
Bell,678,213,146,480270221012
Bell,947,299,144,480270221013
Bell,520,206,20,480270221014
Bell,2131,870,261,480270221031
Bell,2339,932,257,480270221032
Bell,912,306,87,480270221041
Bell,851,333,81,480270221042
Bell,1209,479,147,480270221043
Bell,1066,450,130,480270221044
Bell,925,297,182,480270221051
Bell,1057,397,124,480270221052
Bell,767,233,153,480270222001
Bell,989,355,66,480270222002
Bell,1279,496,109,480270222003
Bell,829,277,100,480270223001
Bell,869,414,35,480270223002
Bell,1046,298,164,480270223003
Bell,906,241,230,480270223004
Bell,1100,396,206,480270224011
Bell,4038,1906,326,480270224012
Bell,3664,1806,787,480270224021
Bell,1495,698,279,480270224022
Bell,798,295,154,480270224031
Bell,2924,1125,477,480270224032
Bell,741,288,137,480270224033
Bell,5797,2580,870,480270224041
Bell,1402,604,206,480270224042
Bell,1136,346,114,480270224051
Bell,787,303,133,480270224052
Bell,768,222,111,480270225011
Bell,756,218,157,480270225012
Bell,918,266,190,480270225013
Bell,789,257,125,480270225014
Bell,4836,2104,792,480270225021
Bell,3185,1407,767,480270225022
Bell,3084,1242,349,480270225023
Bell,911,309,76,480270226001
Bell,476,156,44,480270226002
Bell,530,200,38,480270226003
Bell,410,137,35,480270226004
Bell,856,280,77,480270226005
Bell,785,271,81,480270228011
Bell,490,150,25,480270228012
Bell,842,296,43,480270228013
Bell,929,270,78,480270229001
Bell,1049,344,109,480270229002
Bell,786,210,70,480270229003
Bell,522,178,62,480270229004
Bell,673,213,67,480270230001
Bell,1312,297,346,480270230002
Bell,1590,527,352,480270230003
Bell,4396,2199,661,480270230004
Bell,614,240,65,480270231031
Bell,1390,515,189,480270231032
Bell,1209,498,170,480270231033
Bell,926,387,148,480270231034
Bell,1812,694,233,480270231041
Bell,1214,389,209,480270231042
Bell,7192,3750,1294,480270231051
Bell,4405,2244,542,480270231052
Bell,2844,1277,363,480270231061
Bell,1771,786,92,480270231062
Bell,2456,1096,273,480270231063
Bell,1318,665,159,480270231064
Bell,777,304,69,480270231071
Bell,2032,874,109,480270231072
Bell,2770,1331,292,480270231073
Bell,543,203,73,480270231074
Bell,2214,1063,208,480270231081
Bell,3906,1855,334,480270231082
Bell,2103,901,165,480270231083
Bell,2248,965,214,480270231084
Bell,1767,743,194,480270231085
Bell,1385,273,167,480270232011
Bell,1568,207,364,480270232012
Bell,581,138,78,480270232021
Bell,1606,400,166,480270232022
Bell,1409,243,180,480270232031
Bell,418,78,53,480270232032
Bell,552,14,9,480270232041
Bell,834,116,149,480270232042
Bell,1271,208,705,480270233001
Bell,3722,653,1941,480270233002
Bell,3101,771,1244,480270233003
Bell,1030,71,681,480270234021
Bell,1082,100,537,480270234022
Bell,1077,56,785,480270234023
Bell,903,96,510,480270234024
Bell,1557,130,1055,480270234031
Bell,2445,266,1498,480270234032
Bell,1598,153,1035,480270234033
Bell,1285,119,771,480270234034
Bell,1325,197,641,480270234041
Bell,2536,271,1677,480270234042
Bell,614,216,64,480270235001
Bell,685,283,48,480270235002
Bell,385,146,19,480270235003
Bell,72,26,22,480279800011
Bell,3,1,1,480279800021
Bell,1,0,0,480291802011
Bell,1,0,0,480291917021
Bell,4,0,2,480539601001
Bell,4,0,2,480990101011
Bell,5,0,4,480990104001
Bell,0,0,0,480990104003
Bell,2,1,0,480990105011
Bell,7,0,0,480990105012
Bell,2,0,0,480990105022
Bell,27,15,1,480990105032
Bell,62,3,6,480990105041
Bell,1,0,0,480990107013
Bell,12,3,6,480990108023
Bell,3,0,2,480990108031
Bell,5,1,0,480999800001
Bell,2,0,1,481450005001
Bell,2,0,2,481450007001
Bell,11,1,7,482819503012
Bell,15,0,0,482819503013
Bell,1,0,0,482819503022
Bell,1,0,0,482819503023
Bell,2,0,0,482959503001
Bell,21,4,9,483090038023
Bell,1,0,0,483290101042
